scene	sentiment
1	-0.0243902439024
2	0
3	0
4	0
5	0.0434782608696
6	0.0909090909091
7	0
8	-0.1
9	0
10	-0.0625
11	-0.117647058824
12	0
13	-0.0666666666667
14	0
15	0.0416666666667
16	0
17	-0.130434782609
18	0
19	-0.15
20	-0.0454545454545
21	0
22	-0.0666666666667
23	0.0434782608696
24	0.0
25	0
26	0
27	-0.0769230769231
28	0
29	0.0454545454545
30	-0.04
31	0
32	0.25
33	0.0833333333333
34	0
35	0.037037037037
36	-0.0666666666667
37	0
38	0
39	0.0
40	0
41	0.0
42	0
43	0
44	0
45	0.117647058824
46	0
47	0
48	-0.166666666667
49	0
50	-0.117647058824
51	0
52	-0.105263157895
53	-0.03125
54	0.0
55	-0.0416666666667
56	0.0555555555556
57	0
58	-0.0434782608696
59	0.0
60	-0.148148148148
61	0
62	-0.0666666666667
63	-0.0555555555556
64	0
65	0
66	-0.0512820512821
67	0
68	-0.1
69	-0.0588235294118
70	-0.0714285714286
71	0.0
72	0.0
73	-0.0769230769231
74	-0.111111111111
75	-0.0869565217391
76	-0.1
77	-0.0526315789474
78	0
79	0.0434782608696
80	-0.0555555555556
81	-0.142857142857
82	-0.0833333333333
83	0
84	-0.0322580645161
85	0.0833333333333
86	0
87	0.0526315789474
88	0
89	-0.0625
90	0
91	0
92	0.05
93	-0.0909090909091
94	0.0454545454545
95	0.047619047619
96	0
97	0.0625
98	0.111111111111
99	0.0769230769231
100	0
101	0
102	-0.0666666666667
103	0.142857142857
104	-0.0434782608696
105	-0.0625
106	0.0588235294118
107	0
108	-0.0588235294118
109	-0.0769230769231
110	0
111	-0.0833333333333
112	0.0526315789474
113	0
114	-0.0909090909091
115	0
116	0.0769230769231
117	-0.0555555555556
118	0
119	0
120	-0.0833333333333
121	-0.0434782608696
122	0
123	0
124	0
125	0.0909090909091
126	0
127	0.0555555555556
128	0
129	0
130	0
131	0.0769230769231
132	-0.0588235294118
133	0.0526315789474
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0.0769230769231
144	0.0526315789474
145	0
146	0
147	0
148	0
149	0
